,Source file,DateTime,Date,Time,Duration(s),Comments,Pyrite Type,Texture,Generation,Reef,Mg25,Mg25 Int2SE,Mg25 LOD,Al27,Al27 Int2SE,Al27 LOD,Si29,Si29 Int2SE,Si29 LOD,P31,P31 Int2SE,P31 LOD,S33,S33 Int2SE,S33 LOD,S34,S34 Int2SE,S34 LOD,K39,K39 Int2SE,K39 LOD,Ca43,Ca43 Int2SE,Ca43 LOD,Ti49,Ti49 Int2SE,Ti49 LOD,V51,V51 Int2SE,V51 LOD,Cr53,Cr53 Int2SE,Cr53 LOD,Mn55,Mn55 Int2SE,Mn55 LOD,Co59,Co59 Int2SE,Co59 LOD,Ni60,Ni60 Int2SE,Ni60 LOD,Cu65,Cu65 Int2SE,Cu65 LOD,Zn66,Zn66 Int2SE,Zn66 LOD,Ga71,Ga71 Int2SE,Ga71 LOD,Ge74,Ge74 Int2SE,Ge74 LOD,As75,As75 Int2SE,As75 LOD,Se77,Se77 Int2SE,Se77 LOD,Se82,Se82 Int2SE,Se82 LOD,Sr88,Sr88 Int2SE,Sr88 LOD,Zr90,Zr90 Int2SE,Zr90 LOD,Mo95,Mo95 Int2SE,Mo95 LOD,Ag107,Ag107 Int2SE,Ag107 LOD,Cd111,Cd111 Int2SE,Cd111 LOD,In115,In115 Int2SE,In115 LOD,Sn118,Sn118 Int2SE,Sn118 LOD,Sb121,Sb121 Int2SE,Sb121 LOD,Te125,Te125 Int2SE,Te125 LOD,Ba137,Ba137 Int2SE,Ba137 LOD,Ta181,Ta181 Int2SE,Ta181 LOD,W182,W182 Int2SE,W182 LOD,Pt195,Pt195 Int2SE,Pt195 LOD,Au197,Au197 Int2SE,Au197 LOD,Hg202,Hg202 Int2SE,Hg202 LOD,Tl205,Tl205 Int2SE,Tl205 LOD,Pb206,Pb206 Int2SE,Pb206 LOD,Pb207,Pb207 Int2SE,Pb207 LOD,Pb208,Pb208 Int2SE,Pb208 LOD,Bi209,Bi209 Int2SE,Bi209 LOD,Th232,Th232 Int2SE,Th232 LOD,U238,U238 Int2SE,U238 LOD,Ni61,Ni61 Int2SE,Ni61 LOD
1,JBA-01_1.d,26/11/2015 (5) 12:36:08.83,26/11/2015 (5),0.525102199,35.689,"JBA-01_1.d, 12:36:08 PM (35.7 sec)_Ni-As-Co zoned",Euhedral (hydrothermal),Euhedral,Epigenetic,IQL,NA,2.9,7.3127,25,16,4.1641,480,110,347.7,1.09,0.32,0.22944,609000,32000,1588.3,580000,26000,491.77,29,26,0.49312,NA,270,637.64,20.3,3.9,1.7376,0.2,0.15,0.076569,NA,0.37,0.49054,4.1,2.3,0.98078,2010,650,0.10693,152,39,1.4824,2.9,1.2,0.63595,NA,0.41,0.60287,NA,0.035,0.077511,0.52,0.3,0.26613,2070,690,1.5879,38,5.6,3.6082,37.8,5.6,5.4514,0.007,0.029,0,1.04,0.96,0,0.25,0.27,0,0.012,0.023,0,NA,0.015,0.73076,NA,7.00E-04,0,NA,0.24,0.61218,NA,0.27,0.50581,NA,0.36,1.1698,0,1,0,0,1,0,1.5,1.2,0,NA,0.00045,0.081418,NA,0.016,0.018991,NA,0.069,0.14291,NA,0.0012,0.090833,1.24,0.48,0.19657,0.55,0.29,0.35481,0.6,0.2,0.090945,0.88,0.21,0.09961,0.19,0.15,0,0.095,0.075,0,NA,NA,NA
2,JBA-01_2.d,26/11/2015 (5) 12:37:59.93,26/11/2015 (5),0.526388079,16.337,"JBA-01_2.d, 12:37:59 PM (16.3 sec)",NA,NA,NA,IQL,NA,5,7.7484,12,18,4.4949,400,150,344.12,1,0.34,0.33403,606000,42000,1765.5,590000,33000,437.75,NA,15,0.46334,NA,240,637.16,15.4,3.7,0.76328,0.12,0.1,0.11269,NA,0.43,0.70454,2.5,3,1.1757,22810,960,0.065731,9,1.8,1.4335,2.17,0.82,0.72578,NA,0.0092,0.64381,NA,0.086,0.23058,NA,0.26,0.38021,1980,100,1.3615,34.7,5.1,2.7904,27.9,4.8,5.4958,NA,0.001,0.042518,3.1,3.8,0,0.2,0.21,0,NA,0.063,0.11748,NA,0.17,0.71701,NA,0.00048,0.039104,NA,0.38,0.36574,NA,0.29,0.45156,NA,0.47,1.481,0,1,0,0,1,0,0,1,0,NA,0.00032,0.039546,NA,0.00052,0.043934,NA,0.052,0.18413,NA,0.001,0,0.31,0.58,0,0.26,0.32,0.24497,0.23,0.24,0,0.85,0.32,0.073232,0.12,0.14,0,0.078,0.079,0,NA,NA,NA
3,JBA-01_3.d,26/11/2015 (5) 12:40:01.86,26/11/2015 (5),0.527799306,37.015,"JBA-01_3.d, 12:40:01 PM (37.0 sec)",Subhedral (hydrothermal),Subhedral,Epigenetic,IQL,NA,3.1,8.0639,NA,1.5,4.3754,560,150,311.86,0.8,0.33,0.34327,652000,30000,3301.5,614000,24000,932.11,12.1,9.8,0.50261,NA,240,880.48,15.3,3.7,2.2126,NA,0.046,0.077508,NA,0.42,0.60782,2.9,1.6,1.0348,268,49,0.085029,683,26,1.5919,NA,0.27,0.43353,NA,0.19,0.69245,NA,0.036,0.17103,NA,0.19,0.31946,542,21,1.2923,23.6,3.7,2.1255,27.9,3.7,6.727,NA,0.0013,0.089067,NA,0.046,0.19751,0.031,0.059,0,NA,0.021,0.02773,NA,0.077,0,NA,0.00058,0,NA,0.22,0.57934,NA,0.3,0.51171,NA,0.4,1.5421,0,1,0,0,1,0,0,1,0,NA,0.00044,0.082488,NA,0.009,0,NA,0.066,0.3096,NA,0.0011,0.045934,0.89,0.64,0,0.43,0.32,0,NA,0.25,2.4399,1.13,0.3,0.1083,NA,0.014,0.039427,0,1,0,NA,NA,NA
4,JBA-01_4.d,26/11/2015 (5) 12:42:09.54,26/11/2015 (5),0.529277083,26.629,"JBA-01_4.d, 12:42:09 PM (26.6 sec)",Sub-rounded massive (detrital),Rounded,Detrital,IQL,NA,2.4,8.713,NA,1.3,9.1491,580,120,398.68,0.77,0.45,0.23935,622000,36000,48161,589000,30000,40511,5.7,8,0.62437,NA,230,649.68,11.4,4.1,1.4619,NA,0.048,0.17895,NA,0.23,1.1046,3.55,0.9,0.98038,2100,100,47.769,427,17,19.759,NA,0.4,0.93313,0.51,0.42,0.16022,NA,0.049,0.10903,NA,0.17,0.40623,1334,64,16.297,19.3,3.3,3.27,22.1,3.8,5.0271,NA,0.0013,0,NA,0.023,2.0032,NA,0.00079,0.27106,NA,0.00098,0.051097,NA,0.014,0.3496,NA,0.0077,0,NA,0.25,0.57743,NA,0.24,0.518,NA,0.41,1.8498,0,1,0,0,1,0,0,1,0,NA,0.00046,0.10594,NA,0.0059,0.039,NA,0.058,0.18158,NA,0.0011,0,NA,0.06,1.1145,NA,0.1,0.59205,NA,0.075,0.34926,0.5,0.18,0.031834,NA,0.00032,0.10891,0,1,0,NA,NA,NA
5,JBA-01_5.d,26/11/2015 (5) 12:44:03.54,26/11/2015 (5),0.530596528,36.861,"JBA-01_5.d, 12:44:02 PM (36.8 sec)",Subhedral (hydrothermal),Subhedral,Epigenetic,IQL,NA,2.8,6.4246,7.7,3.8,2.0241,473,82,283.09,1.34,0.29,0.1527,501000,28000,1466.2,491000,23000,383.53,NA,6.3,0.36311,NA,150,521.31,13.7,3.1,1.7036,NA,0.037,0.12453,3.11,0.79,0.45208,1.74,0.73,0.67175,1371,35,0.030679,1307,46,1.2231,12.2,6.1,0.50457,NA,0.3,0.5511,NA,0.028,0.080758,NA,0.11,0.24002,NA,1.2,0.97774,1.69,0.78,1.517,NA,1.2,4.4793,NA,0.00091,0.04484,2.4,1.6,0,NA,0.00059,0.064789,0.179,0.067,0.043866,NA,0.27,0.75759,NA,0.00047,0.018397,NA,0.17,0.40957,NA,0.15,0.37802,NA,0.17,1.4537,0,1,0,0,1,0,0,1,0,NA,0.00029,0.059179,NA,0.0042,0.013716,NA,0.057,0.18838,NA,0.00087,0.032887,11.9,1.8,0,7.3,1.1,0,6.39,0.77,0.055273,0.077,0.049,0,0.097,0.069,0,0.044,0.032,0,NA,NA,NA
6,JBA-03 1.d,26/06/2015 (6) 15:59:36.18,26/06/2015 (6),0.666390972,23.654,"JBA-03 1.d, 3:59:36 PM (23.65 sec)_uraninite ablation",Rounded massive (core),Rounded,Detrital,SPC,NA,0.58,568.9,NA,35,1927.9,NA,59,11585,NA,NA,NA,NA,NA,NA,471000,22000,251.71,NA,NA,NA,NA,62,1109.4,NA,1.5,489.06,NA,0.079,10.996,3.5,5.6,0.31794,NA,0.16,67.067,410,110,1.5491,320,28,0.42186,1.9,1.1,0.45904,NA,1.5,3.1503,NA,NA,NA,NA,NA,NA,137,55,3.7901,20.1,2.1,0.30537,20.9,2.6,2.7493,NA,NA,NA,NA,NA,NA,NA,0.16,9.893,0.062,0.025,0.019666,NA,0.0013,0.12041,NA,NA,NA,0.67,0.22,0.50434,1.24,0.16,0.074949,1.58,0.46,0.51714,NA,NA,NA,NA,0.0078,0.0113,NA,0.02,0.066059,0.016,0.013,0.0076604,0.2,0.11,0.012721,0.156,0.036,0.077125,NA,0.0054,0.035698,NA,NA,NA,NA,NA,NA,10,12,0.1926,3,0.39,0.01136,NA,NA,NA,4.3,6.5,0.034982,257,23,0
7,JBA-03 2.d,26/06/2015 (6) 16:01:52.84,26/06/2015 (6),0.667972685,8.7199,"JBA-03 2.d, 4:01:52 PM (8.71 sec)_matrix ablation",NA,NA,NA,SPC,4.8,1.8,1.2232,NA,15,116.56,8400,6400,5202.3,NA,NA,NA,NA,NA,NA,434000,33000,14631,NA,NA,NA,NA,67,136.3,11.1,3.1,0.67253,0.113,0.058,0.10491,22.6,8.6,22.4,NA,0.37,0.46853,1780,83,30.129,830,110,7.7669,4.6,1.5,0.35807,2.47,0.74,0.64627,NA,NA,NA,NA,NA,NA,811,40,14.947,25.9,3.7,0.55992,22.5,2.2,2.6188,NA,NA,NA,NA,NA,NA,0.032,0.039,0.019358,0.075,0.036,0.021682,NA,0.002,0.19487,NA,NA,NA,NA,0.25,0.52723,2.75,0.26,0.16033,1.89,0.53,0.51238,NA,NA,NA,NA,0.011,0.011512,NA,9.20E-05,0.024755,0.011,0.014,0.0061964,0.49,0.15,0.026778,NA,0.031,0.074311,NA,0.0058,0.03153,NA,NA,NA,NA,NA,NA,13,1.5,2.0351,4.17,0.29,0.25961,NA,NA,NA,NA,0.47,2.3466,710,100,5.4356
8,JBA-03 3.d,26/06/2015 (6) 16:04:17.99,26/06/2015 (6),0.669652662,36.647,"JBA-03 3.d, 4:04:18 PM (36.64 sec)",Rounded massive,Rounded,Detrital,SPC,212,74,0.38412,920,330,0.26433,4100,1600,160.85,NA,NA,NA,NA,NA,NA,502000,30000,190.09,NA,NA,NA,184,68,110.41,11.8,1.7,0.62756,1.94,0.65,0.019471,209,73,1.2671,1.38,0.24,0.51663,349,42,0.017913,126,7.6,0.2032,2.08,0.38,0.18921,1.04,0.17,0.092152,NA,NA,NA,NA,NA,NA,202,18,3.3769,4,1,0.64648,2.8,1.4,2.2723,NA,NA,NA,NA,NA,NA,NA,0.0038,0,0.084,0.02,0.027655,NA,0.0027,0.17572,NA,NA,NA,NA,0.14,0.45382,56.5,3.3,0.068737,0.89,0.26,0.39933,NA,NA,NA,NA,0.00021,0,0.00111,0.00012,0,NA,0.0023,0.01117,0.161,0.037,0.0071657,0.176,0.029,0.061753,1.04,0.11,0.024424,NA,NA,NA,NA,NA,NA,11.5,1.5,0,3.27,0.43,0.010424,NA,NA,NA,0.76,0.63,0.035355,114.7,9.2,0
9,JBA-03 4.d,26/06/2015 (6) 16:09:12.55,26/06/2015 (6),0.673061921,36.191,"JBA-03 4.d, 4:09:12 PM (36.2 sec)",Pyrite rim (overgrowth),Overgrowth,Epigenetic,SPC,4.5,1.6,3.632,930,440,0.29956,5900,1200,145.87,NA,NA,NA,NA,NA,NA,504000,39000,165.28,NA,NA,NA,121,62,100.05,108,64,0.82117,3.2,1.1,0.020816,190,61,0.25485,NA,0.2,0.46169,1667,89,0.015564,99.6,4.6,0.3176,12.6,2.3,0.24648,7.1,1.3,0.086966,NA,NA,NA,NA,NA,NA,849,59,3.5145,22.6,3.3,0.59917,23.5,3.8,3.1964,NA,NA,NA,NA,NA,NA,0.233,0.09,0,0.054,0.016,0.025936,NA,0.0045,0.20752,NA,NA,NA,0.54,0.19,0.50283,0.258,0.09,0.081153,NA,0.21,0.59162,NA,NA,NA,0.1,0.05,0.01103,0.103,0.06,0,NA,0.0041,0.011418,0.533,0.098,0.0028586,0.105,0.032,0.058407,0.028,0.019,0.0254,NA,NA,NA,NA,NA,NA,3.47,0.6,0,1.59,0.32,0.0092047,NA,NA,NA,3.78,0.88,0.0019762,77.9,7,0.42426
10,JBA-03 5.d,26/06/2015 (6) 16:11:37.17,26/06/2015 (6),0.674735764,37.29,"JBA-03 5.d, 4:11:37 PM (37.33 sec)",Rounded massive (core),Rounded,Detrital,SPC,NA,0.15,1.8261,NA,0.11,303.42,NA,50,844.33,NA,NA,NA,NA,NA,NA,5.00E+05,23000,16970,NA,NA,NA,NA,71,123.07,11.6,1.4,1.0856,NA,0.024,0.42938,NA,0.19,28.321,NA,0.18,0.51891,NA,0.28,44.112,12.8,0.74,2.3441,0.82,0.25,0.26277,NA,0.065,0.13124,NA,NA,NA,NA,NA,NA,377,19,26.836,27.7,3.2,0.8714,28.9,3.3,2.2359,NA,NA,NA,NA,NA,NA,NA,0.00049,0,NA,0.0079,0.019336,NA,0.0024,0.21343,NA,NA,NA,NA,0.16,0.56005,1.27,0.11,0.099839,2.19,0.45,0.55706,NA,NA,NA,NA,2.00E-04,0.011335,0.000997,9.10E-05,0,NA,3.00E-04,0.0085495,NA,0.0095,0.029543,0.112,0.029,0.06873,NA,0.0083,0.039124,NA,NA,NA,NA,NA,NA,7.54,0.65,0.067449,1.67,0.12,0.050113,NA,NA,NA,NA,7.00E-05,0.13588,9.6,2.5,1.4042
